Rk,Player,Pos,Tm,Salary
1,Kirk Cousins\CousKi00,QB,MIN,$27500000
2,Jameis Winston\WinsJa00,QB,TAM,$20922000
,Marcus Mariota\MariMa01,QB,TEN,$20922000
4,Derek Carr\CarrDe02,QB,OAK,$19900000
5,Joe Flacco\FlacJo00,QB,DEN,$18500000
6,Jimmy Garoppolo\GaroJi00,QB,SFO,$17200000
7,Mike Evans\EvanMi00,WR,TAM,$17000000
,Melvin Ingram\IngrMe00,DE,LAC,$17000000
,Von Miller\MillVo00,LB,DEN,$17000000
10,Odell Beckham\BeckOd00,WR,CLE,$16750000
11,Chandler Jones\JoneCh03,DE,ARI,$16500000
12,Cam Newton\NewtCa00,QB,CAR,$16200000
13,Andy Dalton\DaltAn00,QB,CIN,$16000000
14,Jadeveon Clowney\ClowJa00,DE,SEA,$15967200
15,Olivier Vernon\VernOl00,DE,CLE,$15250000
16,Grady Jarrett\JarrGr00,DT,ATL,$15209000
17,Antonio Brown\BrowAn04,WR,NWE,$14625000
18,Taylor Lewan\LewaTa00,OT,TEN,$14500000
19,Leonard Williams\WillLe02,DT,NYJ,$14200000
20,Tom Brady\BradTo00,QB,NWE,$14000000
21,Amari Cooper\CoopAm00,WR,DAL,$13924000
22,Matthew Stafford\StafMa00,QB,DET,$13500000
23,Reshad Jones\JoneRe99,DB,MIA,$13015000
24,J.J. Watt\WattJ.00,DE,HOU,$13000000
,Andrew Norwell\NorwAn01,G,JAX,$13000000
,A.J. Bouye\BouyA.00,CB,JAX,$13000000
,T.Y. Hilton\HiltT.00,WR,IND,$13000000
28,Nate Solder\SoldNa00,T,NYG,$12900000
29,Vic Beasley\BeasVi00,OLB,ATL,$12810000
30,Darius Slay\SlayDa00,CB,DET,$12550000
31,Brandon Scherff\ScheBr00,G,WAS,$12525000
32,Kawann Short\ShorKa00,DT,CAR,$12500000
,Jarvis Landry\LandJa00,WR,CLE,$12500000
,DeAndre Hopkins\HopkDe00,WR,HOU,$12500000
35,Calais Campbell\CampCa99,DE,JAX,$12000000
36,Sammy Watkins\WatkSa00,WR,KAN,$11950000
37,Alshon Jeffery\JeffAl00,WR,PHI,$11750000
38,Eli Manning\MannEl00,QB,NYG,$11500000
39,Philip Rivers\RivePh00,QB,LAC,$11000000
,Josh Norman\NormJo01,CB,WAS,$11000000
,Larry Fitzgerald\FitzLa00,WR,ARI,$11000000
42,Terron Armstead\ArmsTe00,OT,NOR,$10700000
43,Jurrell Casey\CaseJu00,DL,TEN,$10550000
44,Ryan Kerrigan\KerrRy00,DE,WAS,$10500000
,Bobby Wagner\WagnBo00,ILB,SEA,$10500000
,Malcolm Butler\ButlMa01,CB,TEN,$10500000
47,Xavier Rhodes\RhodXa00,CB,MIN,$10400000
48,Eric Fisher\FishEr00,OT,KAN,$10350000
49,Emmanuel Sanders\SandEm00,WR,DEN,$10250000
,Andrew Whitworth\WhitAn20,T,LAR,$10250000
51,Janoris Jenkins\JenkJa03,CB,NYG,$10150000
52,Luke Kuechly\KuecLu00,ILB,CAR,$10000059
53,Joe Haden\HadeJo99,DB,PIT,$10000000
,Kevin Zeitler\ZeitKe00,G,NYG,$10000000
,Tyron Smith\SmitTy00,OT,DAL,$10000000
,Keenan Allen\AlleKe00,WR,LAC,$10000000
,Zack Martin\MartZa00,OT,DAL,$10000000
,Ryan Jensen\JensRy00,T,TAM,$10000000
59,Allen Robinson\RobiAl02,WR,CHI,$9900000
60,Lavonte David\DaviLa00,OLB,TAM,$9750000
61,Kelechi Osemele\OsemKe00,T,NYJ,$9700000
62,D.J. Humphries\HumpD.00,OT,ARI,$9625000
,Andrus Peat\PeatAn00,OT,NOR,$9625000
64,Julio Jones\JoneJu02,WR,ATL,$9600000
65,Logan Ryan\RyanLo00,CB,TEN,$9500000
,Jimmy Smith\SmitJi03,CB,BAL,$9500000
,Desmond Trufant\TrufDe00,CB,ATL,$9500000
68,Riley Reiff\ReifRi00,OT,MIN,$9400000
,Danielle Hunter\HuntDa01,DE,MIN,$9400000
70,Nelson Agholor\AghoNe00,WR,PHI,$9387000
71,Brandon Williams\WillBr02,DT,BAL,$9250000
72,Shaq Thompson\ThomSh01,OLB,CAR,$9232000
,Bud Dupree\DuprAl00,DE,PIT,$9232000
74,Dre Kirkpatrick\KirkDr00,CB,CIN,$9150000
75,Aaron Donald\DonaAa00,DT,LAR,$9108000
76,Marcus Peters\PeteMa00,CB,LAR,$9069000
,Damarious Randall\RandDa00,FS,CLE,$9069000
,Trae Waynes\WaynTr00,CB,MIN,$9069000
79,Arik Armstead\ArmsAr01,DE,SFO,$9046000
80,Ricky Wagner\WagnRi00,OT,DET,$9000000
,Devin McCourty\McCoDe99,DB,NWE,$9000000
82,Linval Joseph\JoseLi99,DT,MIN,$8900000
,Stefon Diggs\DiggSt00,WR,MIN,$8900000
84,Cameron Heyward\HeywCa01,DE,PIT,$8750000
85,David Bakhtiari\BakhDa00,OT,GNB,$8500000
,Alex Mack\MackAl20,C,ATL,$8500000
,Prince Amukamara\AmukPr00,CB,CHI,$8500000
88,Harrison Smith\SmitHa00,FS,MIN,$8350000
89,Rodney Hudson\HudsRo00,OL,OAK,$8250000
90,Ronald Leary\LearRo00,G,DEN,$8150000
91,Malcolm Jenkins\JenkMa99,DB,PHI,$8100000
92,Joe Staley\StalJo20,T,SFO,$8050000
93,Geno Atkins\AtkiGe99,DT,CIN,$8000000
,Aqib Talib\TaliAq99,DB,LAR,$8000000
,Kelvin Beachum\BeacKe00,T,NYJ,$8000000
,Derek Wolfe\WolfDe00,DT,DEN,$8000000
,Trumaine Johnson\JohnTr05,CB,NYJ,$8000000
,Tony Jefferson\JeffTo00,FS,BAL,$8000000
,Cameron Jordan\JordCa00,DE,NOR,$8000000
,Sheldon Richardson\RichSh00,DT,CLE,$8000000
,Brandon Brooks\BrooBr00,G,PHI,$8000000
,Casey Hayward\HaywCa00,DB,LAC,$8000000
,Akiem Hicks\HickAk00,DE,CHI,$8000000
,Zach Ertz\ErtzZa00,TE,PHI,$8000000
