Rk,Player,Pos,Tm,Salary,NewPlayer
,A.J. Bouye\BouyA.00,CB,JAX,"$13,000,000 ",A.J. Bouye
,A.J. Brown\BrowAJ00,WR,TEN,"$495,000 ",A.J. Brown
,A.J. Cann\CannA.00,OG,JAX,"$805,000 ",A.J. Cann
206,A.J. Klein\KleiAJ00,ILB,NOR,"$4,100,000 ",A.J. Klein
,A.J. Moore\MoorA.00,DB,HOU,"$570,000 ",A.J. Moore
,A.Q. Shipley\ShipA.20,C,ARI,"$805,000 ",A.Q. Shipley
,Aaron Brewer\BrewAa00,LS,ARI,"$930,000 ",Aaron Brewer
,Aaron Colvin\ColvAa00,CB,HOU,"$7,500,000 ",Aaron Colvin
75,Aaron Donald\DonaAa00,DT,LAR,"$9,108,000 ",Aaron Donald
,Aaron Jones\JoneAa00,RB,GNB,"$645,000 ",Aaron Jones
,Aaron Lynch\LyncAa00,DE,CHI,"$1,000,000 ",Aaron Lynch
,Aaron Rodgers\RodgAa00,QB,GNB,"$1,100,000 ",Aaron Rodgers
,Aaron Stinnie\StinAa00,G,TEN,"$570,000 ",Aaron Stinnie
,Abdullah Anderson\AndeAb00,DT,CHI,"$495,000 ",Abdullah Anderson
,Abry Jones\JoneAb00,DT,JAX,"$3,400,000 ",Abry Jones
,Adam Butler\ButlAd00,DT,NWE,"$645,000 ",Adam Butler
711,Adam Gotsis\GotsAd00,DT,DEN,"$986,987 ",Adam Gotsis
,Adam Humphries\HumpAd00,WR,TEN,"$2,000,000 ",Adam Humphries
642,Adam Shaheen\ShahAd00,TE,CHI,"$1,002,322 ",Adam Shaheen
156,Adam Thielen\ThieAd00,WR,MIN,"$5,850,000 ",Adam Thielen
446,Adam Vinatieri\vinatada01,K,IND,"$1,875,000 ",Adam Vinatieri
,Adarius Taylor\GlanAd00,LB,CLE,"$1,350,000 ",Adarius Taylor
508,Adoree' Jackson\JackAd00,CB,TEN,"$1,490,708 ",Adoree' Jackson
,Adrian Amos\AmosAd00,FS,GNB,"$1,250,000 ",Adrian Amos
,Adrian Clayborn\ClayAd00,DL,ATL,"$930,000 ",Adrian Clayborn
,Adrian Peterson\PeteAd01,RB,WAS,"$1,030,000 ",Adrian Peterson
481,Adrian Phillips\PhilAd00,DB,LAC,"$1,500,000 ",Adrian Phillips
804,Ahkello Witherspoon\WithAh00,CB,SFO,"$815,375 ",Ahkello Witherspoon
906,Akeem King\KingAk00,DB,SEA,"$750,000 ",Akeem King
,Akeem Spence\SpenAk00,DT,PHI,"$2,900,000 ",Akeem Spence
,Akiem Hicks\HickAk00,DE,CHI,"$8,000,000 ",Akiem Hicks
,Al Woods\WoodAl99,DT,SEA,"$1,250,000 ",Al Woods
,Albert McClellan\McClAl00,DE,NYJ,"$805,000 ",Albert McClellan
127,Albert Wilson\WilsAl02,WR,MIA,"$6,975,000 ",Albert Wilson
,Aldrick Rosas\RosaAl00,K,NYG,"$645,000 ",Aldrick Rosas
,Alec Ingold\IngoAl01,FB,OAK,"$495,000 ",Alec Ingold
,Alec Ogletree\OgleAl00,OLB,NYG,"$4,000,000 ",Alec Ogletree
,Alejandro Villanueva\VillAl00,OL,PIT,"$5,000,000 ",Alejandro Villanueva
989,Alex Anzalone\AnzaAl00,OLB,NOR,"$717,000 ",Alex Anzalone
,Alex Armah\ArmaAl00,FB,CAR,"$645,000 ",Alex Armah
1205,Alex Cappa\CappAl00,OT,TAM,"$615,000 ",Alex Cappa
,Alex Ellis\ElliAl01,TE,PHI,"$645,000 ",Alex Ellis
526,Alex Erickson\EricAl01,WR,CIN,"$1,400,000 ",Alex Erickson
