Rk,Year,Rnd,Pick,Player,Pos,DrAge,Tm,From,To,AP1,PB,St,CarAV,G,GS,QBrec,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,
1,2019,1,1,Kyler Murray\MurrKy00,QB,22,ARI,2019,2019,0,0,1,0,6,6,2-3-1,153,238,1664,7,4,39,238,2,,,,,,Oklahoma,College Stats
2,2019,1,2,Nick Bosa\BosaNi00,DE,21,SFO,2019,2019,0,0,0,0,5,3,,,,,,,,,,,,,,3.0,Ohio St.,College Stats
3,2019,1,3,Quinnen Williams\WillQu00,DT,21,NYJ,2019,2019,0,0,0,0,3,1,,,,,,,,,,,,,,,Alabama,College Stats
4,2019,1,4,Clelin Ferrell\FerrCl00,DE,22,OAK,2019,2019,0,0,1,0,4,4,,,,,,,,,,,,,,1.0,Clemson,College Stats
5,2019,1,5,Devin White\WhitDe02,LB,21,TAM,2019,2019,0,0,1,0,3,3,,,,,,,,,,,,,,,LSU,College Stats
6,2019,1,6,Daniel Jones\JoneDa05,QB,22,NYG,2019,2019,0,0,1,0,5,4,2-2-0,85,140,921,5,6,15,86,2,,,,,,Duke,College Stats
7,2019,1,7,Josh Allen\AlleJo03,LB,22,JAX,2019,2019,0,0,1,0,6,3,,,,,,,,,,,,,,4.0,Kentucky,College Stats
8,2019,1,8,T.J. Hockenson\HockTJ00,TE,22,DET,2019,2019,0,0,1,0,5,4,,,,,,,,,,15,187,2,,,Iowa,College Stats
9,2019,1,9,Ed Oliver\OlivEd00,DT,21,BUF,2019,2019,0,0,1,0,5,5,,,,,,,,,,,,,,,Houston,College Stats
10,2019,1,10,Devin Bush\BushDe01,LB,21,PIT,2019,2019,0,0,1,0,6,5,,,,,,,,,,,,,2,1.0,Michigan,College Stats
11,2019,1,11,Jonah Williams\WillJo10,G,21,CIN,,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats
12,2019,1,12,Rashan Gary\GaryRa00,LB,21,GNB,2019,2019,0,0,0,0,6,0,,,,,,,,,,,,,,1.0,Michigan,College Stats
13,2019,1,13,Christian Wilkins\WilkCh00,DT,23,MIA,2019,2019,0,0,1,0,5,5,,,,,,,,,,,,,,,Clemson,College Stats
14,2019,1,14,Chris Lindstrom\LindCh00,G,22,ATL,2019,2019,0,0,0,0,1,1,,,,,,,,,,,,,,,Boston Col.,College Stats
15,2019,1,15,Dwayne Haskins\HaskDw00,QB,22,WAS,2019,2019,0,0,0,0,1,0,,9,17,107,0,3,2,23,0,,,,,,Ohio St.,College Stats
16,2019,1,16,Brian Burns\BurnBr00,DE,21,CAR,2019,2019,0,0,0,0,6,4,,,,,,,,,,,,,,4.5,Florida St.,College Stats
17,2019,1,17,Dexter Lawrence\LawrDe03,DT,21,NYG,2019,2019,0,0,1,0,6,6,,,,,,,,,,,,,,2.0,Clemson,College Stats
18,2019,1,18,Garrett Bradbury\BradGa00,C,24,MIN,2019,2019,0,0,1,0,6,6,,,,,,,,,,,,,,,North Carolina St.,College Stats
19,2019,1,19,Jeffery Simmons\SimmJe01,DT,22,TEN,,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,College Stats
20,2019,1,20,Noah Fant\FantNo00,TE,21,DEN,2019,2019,0,0,1,0,6,4,,,,,,,1,-5,0,14,152,1,,,Iowa,College Stats
21,2019,1,21,Darnell Savage\SavaDa00,S,22,GNB,2019,2019,0,0,1,0,5,5,,,,,,,,,,,,,1,,Maryland,College Stats
22,2019,1,22,Andre Dillard\DillAn00,T,23,PHI,2019,2019,0,0,0,0,6,0,,,,,,,,,,,,,,,Washington St.,College Stats
23,2019,1,23,Tytus Howard\HowaTy00,T,23,HOU,2019,2019,0,0,1,0,5,5,,,,,,,,,,,,,,,Alabama St.,
24,2019,1,24,Josh Jacobs\JacoJo01,RB,21,OAK,2019,2019,0,0,1,0,5,5,,,,,,,88,430,4,6,77,0,,,Alabama,College Stats
25,2019,1,25,Marquise Brown\BrowMa04,WR,22,BAL,2019,2019,0,0,1,0,5,4,,,,,,,,,,21,326,3,,,Oklahoma,College Stats
26,2019,1,26,Montez Sweat\SweaMo00,DE,23,WAS,2019,2019,0,0,1,0,6,6,,,,,,,,,,,,,,1.0,Mississippi St.,College Stats
27,2019,1,27,Johnathan Abram\AbraJo01,S,22,OAK,2019,2019,0,0,0,0,1,1,,,,,,,,,,,,,,,Mississippi St.,College Stats
28,2019,1,28,Jerry Tillery\TillJe00,DT,22,LAC,2019,2019,0,0,0,0,6,0,,,,,,,,,,,,,,1.5,Notre Dame,College Stats
29,2019,1,29,L.J. Collier\CollLJ00,DE,23,SEA,2019,2019,0,0,0,0,3,0,,,,,,,,,,,,,,,TCU,College Stats
30,2019,1,30,Deandre Baker\BakeDe00,CB,22,NYG,2019,2019,0,0,1,0,6,5,,,,,,,,,,,,,,,Georgia,College Stats
31,2019,1,31,Kaleb McGary\McGaKa00,T,24,ATL,2019,2019,0,0,1,0,6,6,,,,,,,,,,1,-3,0,,,Washington,College Stats
32,2019,1,32,N'Keal Harry\HarrNK00,WR,21,NWE,,,0,0,0,,,,,,,,,,,,,,,,,,Arizona St.,College Stats
33,2019,2,33,Byron Murphy\MurpBy00,CB,21,ARI,2019,2019,0,0,1,0,6,6,,,,,,,,,,,,,,,Washington,College Stats
34,2019,2,34,Rock Ya-Sin\Ya-SRo00,CB,23,IND,2019,2019,0,0,1,0,5,3,,,,,,,,,,,,,,,Temple,College Stats
35,2019,2,35,Jawaan Taylor\TaylJa02,T,21,JAX,2019,2019,0,0,1,0,6,6,,,,,,,,,,,,,,,Florida,College Stats
36,2019,2,36,Deebo Samuel\SamuDe00,WR,23,SFO,2019,2019,0,0,0,0,5,2,,,,,,,3,8,0,15,168,1,,,South Carolina,College Stats
37,2019,2,37,Greg Little\LittGr01,T,21,CAR,2019,2019,0,0,0,0,2,1,,,,,,,,,,,,,,,Mississippi,College Stats
